target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD111232;2455293.70781;-82.515;0.601;104575.616;0.591;69.8302613977;0.414440513754;104575.631206;0.338316725115;69.8302613977;0.414440513754;2.2172219211115447;4.4413732236367744;-3.46485799063;0.658916432364;0.43951047210059274;0.0003612391908592132;0.30638188897215385;0.00047844094306293873;0.4228612667492745;0.0006344825374264382;0;6.47159105724;44.3753122285;-0.0356484595096;104.3;206.3;2455293.70704;9.63409585509;9.62957219404;-0.519;-9999999;0.055;-0.051;0.436;-0.040;-9999999;0.51;900.007;2.21617309019;4.21768555789;2010-04-07T04:46:33.234;-9999999;G2;183.C-0972(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2455320.66445;-70.303;0.969;104588.282;0.907;84.2388121473;0.495047062522;104591.291286;0.406173889668;84.2388121473;0.495047062522;2.0264672233570806;4.3507677948610475;-0.990468922064;1.066451787;0.438960993317561;0.00039186426569276837;0.3098220149650994;0.0005352235521112711;0.4113700169027816;0.0006952518131039052;0;6.47590032772;44.3533515085;-0.0368630710621;104.3;185.4;2455320.66367;2.37838502895;2.37394451401;-0.024;-9999999;0.055;2.145;0.833;2.954;-9999999;0.48;900.0052;2.04600011491;4.25922666377;2010-05-04T03:43:45.910;-9999999;G2;183.C-0972(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2455326.58671;-68.998;0.962;104589.196;1.056;84.2844375258;0.404045244841;104590.559966;0.332934354823;84.2844375258;0.404045244841;-0.298769540503244;4.098095399058515;-3.79199819947;0.738958934482;0.441743110893535;0.00034963079877599915;0.31137308276954484;0.00046139339289313913;0.4219164018999571;0.0006085459917078863;0;6.47123885323;44.3734471762;-0.0376242744318;104.3;215.0;2455326.58594;0.743479806842;0.739093533796;0.185;-9999999;0.056;0.885;0.873;1.308;-9999999;0.5;900.007;-0.267769229485;3.99903454541;2010-05-10T01:51:28.996;-9999999;G2;183.C-0972(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2455340.61801;-55.873;0.646;104602.722;0.596;96.3763975795;0.554944422912;104602.732814;0.452328062122;96.3763975795;0.554944422912;-1.4548560493723883;4.24028911289097;2.69909077666;0.978370381657;0.44464273615308975;0.0004802545088836239;0.31264217625627444;0.0006405996164927914;0.4194261369121042;0.0008381781631675202;0;6.48223474339;44.331878112;-0.0374288218663;104.3;156.3;2455340.61724;-3.30668938962;-3.31110535937;1.057;-9999999;0.056;-0.148;0.330;-0.045;-9999999;0.52;900.0066;-1.42922213896;4.22646601596;2010-05-24T02:36:20.384;-9999999;G2;183.C-0972(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456699.82125;91.958;0.719;104750.012;0.698;245.467186358;0.583711653039;104750.517726;0.476327232619;245.467186358;0.583711653039;-0.38689681662940245;5.0392379205292235;9.42830205427;1.07294850201;0.44200988413837006;0.0004830015409279061;0.31071506039387314;0.0006363085718809078;0.42178591805489873;0.0008352745560735399;0;6.48997410459;44.2936482822;-0.0412710556996;104.3;156.2;2456699.82047;17.1815819876;17.1768415913;-0.596;-9999999;0.089;1.113;0.419;0.417;-9999999;0.5;900.0017;-0.383540543156;5.01958693068;2014-02-11T07:33:51.738;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456700.75298;91.814;0.587;104750.219;0.478;244.692473204;0.51376155931;104750.468422;0.394963741921;244.692473204;0.51376155931;0.9502979117429504;4.774433225288765;9.17913764216;0.985918895478;0.44077467702493883;0.00039336127446317994;0.3100571979442637;0.0005189765417355759;0.4238740242949658;0.0006844271557012282;0;6.48812984497;44.2731442161;-0.0385687410816;104.3;190.5;2456700.7522;17.2295691596;17.2248163478;0.133;-9999999;0.089;0.482;0.284;0.160;-9999999;0.5;900.0008;0.957187238348;4.78497001291;2014-02-12T05:55:28.263;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456702.75926;91.606;0.718;104750.027;0.742;243.923713869;0.504745293164;104749.14805;0.414855784091;243.923713869;0.504745293164;-3.4617217123174555;4.100328250309548;8.78444828281;1.03724253059;0.4411489138703926;0.0004182189497534469;0.3107731331000746;0.0005517810349254491;0.4228247447281473;0.000724973442081828;0;6.48710889703;44.2801948312;-0.0364431199614;104.3;180.1;2456702.75847;17.1837302079;17.1789926331;0.046;-9999999;0.089;-0.078;0.511;-0.968;-9999999;0.51;900.0003;-3.45113208695;4.1494626317;2014-02-14T06:04:11.681;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456703.73995;92.211;0.792;104750.785;0.697;245.689674121;0.671881183085;104751.905489;0.543564509486;245.689674121;0.671881183085;2.5502670713679834;6.2334353595757666;11.3623831462;1.40979990073;0.4409826051801532;0.0005687666075020719;0.31093249821408403;0.0007500143076594734;0.42146199461609063;0.0009824395930641296;0;6.48927177941;44.2722013142;-0.0385338682631;104.3;133.2;2456703.73916;17.1723988639;17.1676625674;0.119;-9999999;0.089;1.083;0.419;1.031;-9999999;0.47;900.0005;2.5502167358;6.23145082627;2014-02-15T05:36:54.429;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456704.75647;93.238;0.710;104751.390;0.606;247.380192337;0.576848961665;104752.516478;0.472294070671;247.380192337;0.576848961665;-9.595076682653882;5.311486401217073;8.50437319667;1.05474872989;0.44146620950896076;0.0005003982924225269;0.3118213883694454;0.0006513368733123987;0.42275835433749853;0.0008545353323033645;0;6.48740791109;44.2812206818;-0.0385972079112;104.3;153.0;2456704.75569;17.1256953706;17.1209563124;-0.25;-9999999;0.089;1.746;0.414;1.037;-9999999;0.52;900.0016;-9.59028888296;5.29967940102;2014-02-16T05:59:52.240;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2456736.78885;107.164;0.811;104766.185;1.019;260.731925846;0.532362399302;104766.682237;0.435893831009;260.731925846;0.532362399302;-5.613633505317779;3.783011018736203;8.51742912458;0.908673314615;0.4392379589060208;0.00044465207878433227;0.29937484257534297;0.0005833322730234584;0.418306658432829;0.0007673202060335339;0;6.48584949094;44.3168029484;-0.0391907749533;104.3;169.9;2456736.78806;13.43595094;13.4313599133;0.247;-9999999;0.090;1.172;0.613;0.407;-9999999;0.47;900.0015;-5.58646558616;3.4658070565;2014-03-20T06:44:49.608;-9999999;G2;192.C-0852(A);Udry;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_wavesimult;STAR,WAVE,G5
